# r   Lambda(r)
4.017521902377972509e+01 -9.799903694689130473e-01
4.030037546933667159e+01 -9.885891888529402260e-01
4.042553191489361808e+01 -9.879535384160876843e-01
4.055068836045056457e+01 -9.966541863196543005e-01
4.067584480600751107e+01 -1.001168801030535960e+00
4.080100125156445756e+01 -1.007556876520422140e+00
4.092615769712140406e+01 -1.005445742240152596e+00
4.105131414267835055e+01 -1.013107484215641341e+00
4.117647058823529704e+01 -1.016644518806889330e+00
4.130162703379224354e+01 -1.021843192670281342e+00
4.142678347934919003e+01 -1.030263781805669909e+00
4.155193992490613653e+01 -1.044507388309331875e+00
4.167709637046308302e+01 -1.043907424930310635e+00
4.180225281602002951e+01 -1.052888656410099655e+00
4.192740926157697601e+01 -1.060522046466408685e+00
4.205256570713392250e+01 -1.060088704498593382e+00
4.217772215269086900e+01 -1.075679917859439172e+00
4.230287859824780838e+01 -1.070241390908130308e+00
4.242803504380475488e+01 -1.067013548389437405e+00
4.255319148936170137e+01 -1.069847844147842730e+00
4.267834793491864787e+01 -1.074054235504787957e+00
4.280350438047559436e+01 -1.071822166931206910e+00
4.292866082603254085e+01 -1.083111030086192805e+00
4.305381727158948735e+01 -1.079068739691936285e+00
4.317897371714643384e+01 -1.082055465597193233e+00
4.330413016270338034e+01 -1.080791354444418761e+00
4.342928660826032683e+01 -1.081932446205008835e+00
4.355444305381727332e+01 -1.088426259132323715e+00
4.367959949937421982e+01 -1.092833066073512382e+00
4.380475594493116631e+01 -1.096581766736988595e+00
4.392991239048811281e+01 -1.098559037056970444e+00
4.405506883604505930e+01 -1.100543220728212201e+00
4.418022528160200579e+01 -1.104841036026372958e+00
4.430538172715895229e+01 -1.114251218949119604e+00
4.443053817271589878e+01 -1.121002817764800596e+00
4.455569461827284528e+01 -1.130586720185303706e+00
4.468085106382979177e+01 -1.134425849822521482e+00
4.480600750938673826e+01 -1.149426077319102957e+00
4.493116395494368476e+01 -1.156683635080557826e+00
4.505632040050063125e+01 -1.158093977174945888e+00
4.518147684605757064e+01 -1.166821230170570489e+00
4.530663329161451713e+01 -1.171604167093369231e+00
4.543178973717146363e+01 -1.186921859615138741e+00
4.555694618272841012e+01 -1.199574368875576225e+00
4.568210262828535662e+01 -1.200062506831072850e+00
4.580725907384230311e+01 -1.206961422876228207e+00
4.593241551939924960e+01 -1.204030149706373898e+00
4.605757196495619610e+01 -1.200010526290096857e+00
4.618272841051314259e+01 -1.207969777647046383e+00
4.630788485607008909e+01 -1.205473170431974994e+00
4.643304130162703558e+01 -1.208605813751639557e+00
4.655819774718398207e+01 -1.222241020997476113e+00
4.668335419274092857e+01 -1.223578841089515867e+00
4.680851063829787506e+01 -1.227515805924489722e+00
4.693366708385482156e+01 -1.230747316571473293e+00
4.705882352941176805e+01 -1.230113478342621747e+00
4.718397997496871454e+01 -1.236966062624969220e+00
4.730913642052566104e+01 -1.242796323208170906e+00
4.743429286608260753e+01 -1.247709715050646873e+00
4.755944931163955403e+01 -1.244782688271814930e+00
4.768460575719650052e+01 -1.248580954160173562e+00
4.780976220275344701e+01 -1.250949320930769160e+00
4.793491864831039351e+01 -1.260408352883530814e+00
4.806007509386734000e+01 -1.265351814253943052e+00
4.818523153942427939e+01 -1.273296898350778639e+00
4.831038798498122588e+01 -1.288564615628188248e+00
4.843554443053817238e+01 -1.293681837562264070e+00
4.856070087609511887e+01 -1.304676953111285176e+00
4.868585732165206537e+01 -1.308197041352426204e+00
4.881101376720901186e+01 -1.319105551418596978e+00
4.893617021276595835e+01 -1.334524452894618296e+00
4.906132665832290485e+01 -1.348839070838783183e+00
4.918648310387985134e+01 -1.351853725205584222e+00
4.931163954943679784e+01 -1.355071340343787289e+00
4.943679599499374433e+01 -1.369054691504433263e+00
4.956195244055069082e+01 -1.371010075943388973e+00
4.968710888610763732e+01 -1.373976450174280828e+00
4.981226533166458381e+01 -1.382540733995719195e+00
4.993742177722153031e+01 -1.388660221623214452e+00
5.006257822277847680e+01 -1.398243742021596070e+00
5.018773466833542329e+01 -1.398411949206256777e+00
5.031289111389236979e+01 -1.410145253731529547e+00
5.043804755944931628e+01 -1.420572908498209497e+00
5.056320400500626278e+01 -1.423056797014646158e+00
5.068836045056320927e+01 -1.431051040703327892e+00
5.081351689612015576e+01 -1.443557671153162136e+00
5.093867334167710226e+01 -1.465606825962706861e+00
5.106382978723404165e+01 -1.472065299902299174e+00
5.118898623279098814e+01 -1.487490357391790141e+00
5.131414267834793463e+01 -1.507233821144386976e+00
5.143929912390488113e+01 -1.519150163574672696e+00
5.156445556946182762e+01 -1.525764458569702997e+00
5.168961201501877412e+01 -1.533826203921692777e+00
5.181476846057572061e+01 -1.536663842449184303e+00
5.193992490613266710e+01 -1.544790483206028631e+00
5.206508135168961360e+01 -1.544187623440745005e+00
5.219023779724656009e+01 -1.547342263672734308e+00
5.231539424280350659e+01 -1.554714181718183763e+00
5.244055068836045308e+01 -1.555863276010381879e+00
5.256570713391739957e+01 -1.554708333483272975e+00
5.269086357947434607e+01 -1.566125677174093456e+00
5.281602002503129256e+01 -1.556044973154653288e+00
5.294117647058823906e+01 -1.559254950603990997e+00
5.306633291614518555e+01 -1.550409783030618716e+00
5.319148936170213204e+01 -1.547802101863790192e+00
5.331664580725907854e+01 -1.548010525077362809e+00
5.344180225281602503e+01 -1.541263494411273305e+00
5.356695869837297153e+01 -1.547002337847287246e+00
5.369211514392991802e+01 -1.541680314482502423e+00
5.381727158948686451e+01 -1.542926891726309924e+00
5.394242803504380390e+01 -1.541482871493221163e+00
5.406758448060075040e+01 -1.542436643710645816e+00
5.419274092615769689e+01 -1.543218870800189713e+00
5.431789737171464338e+01 -1.544547347126381087e+00
5.444305381727158988e+01 -1.536776186741422690e+00
5.456821026282853637e+01 -1.539241871701940934e+00
5.469336670838548287e+01 -1.531826780119637688e+00
5.481852315394242936e+01 -1.526066399145553865e+00
5.494367959949937585e+01 -1.522527728288895155e+00
5.506883604505632235e+01 -1.527463228512848437e+00
5.519399249061326884e+01 -1.524488612663363440e+00
5.531914893617021534e+01 -1.529032870347332373e+00
5.544430538172716183e+01 -1.536342411760620585e+00
5.556946182728410832e+01 -1.542415002920689115e+00
5.569461827284105482e+01 -1.534023569252135122e+00
5.581977471839800131e+01 -1.526596998026525487e+00
5.594493116395494781e+01 -1.522851378349572071e+00
5.607008760951189430e+01 -1.525960669945930270e+00
5.619524405506884079e+01 -1.528229756115882187e+00
5.632040050062578729e+01 -1.525253070526196630e+00
5.644555694618273378e+01 -1.519073119752577306e+00
5.657071339173968028e+01 -1.514127364264568953e+00
5.669586983729662677e+01 -1.508477101339101623e+00
5.682102628285356616e+01 -1.509060436560741181e+00
5.694618272841051265e+01 -1.509063147357155632e+00
5.707133917396745915e+01 -1.512306098357536488e+00
5.719649561952440564e+01 -1.512514295233394312e+00
5.732165206508135213e+01 -1.502017266865208533e+00
5.744680851063829863e+01 -1.497789096671589437e+00
5.757196495619524512e+01 -1.492293137029799599e+00
5.769712140175219162e+01 -1.492374277395783766e+00
5.782227784730913811e+01 -1.491812537754784840e+00
5.794743429286608460e+01 -1.491930606342404264e+00
5.807259073842303110e+01 -1.492291913259764291e+00
5.819774718397997759e+01 -1.485254956858530484e+00
5.832290362953692409e+01 -1.475470978217396478e+00
5.844806007509387058e+01 -1.473524168564683379e+00
5.857321652065081707e+01 -1.469015970655922043e+00
5.869837296620776357e+01 -1.469100067582537639e+00
5.882352941176471006e+01 -1.464801280216490920e+00
