# r   Lambda(r)
6.082603254067584686e+01 -1.636897215718367216e+00
6.095118898623279335e+01 -1.647595644927275282e+00
6.107634543178973985e+01 -1.645452331790317135e+00
6.120150187734668634e+01 -1.644229837613882417e+00
6.132665832290363284e+01 -1.652860659255163123e+00
6.145181476846057933e+01 -1.658302181947768350e+00
6.157697121401752582e+01 -1.661849031010872002e+00
6.170212765957447232e+01 -1.662588343280487768e+00
6.182728410513141881e+01 -1.658016736400929947e+00
6.195244055068836531e+01 -1.655229761557259760e+00
6.207759699624531180e+01 -1.645673453986833845e+00
6.220275344180225829e+01 -1.641647905860823764e+00
6.232790988735920479e+01 -1.646252824773730028e+00
6.245306633291615128e+01 -1.650913557638226559e+00
6.257822277847309778e+01 -1.649979919483738566e+00
6.270337922403003716e+01 -1.642343410374770274e+00
6.282853566958698366e+01 -1.634329589507165670e+00
6.295369211514393015e+01 -1.640082524462293190e+00
6.307884856070087665e+01 -1.649326917482907273e+00
6.320400500625782314e+01 -1.654973820967682752e+00
6.332916145181476963e+01 -1.646602208153596258e+00
6.345431789737171613e+01 -1.644303102946572448e+00
6.357947434292866262e+01 -1.638373104620220566e+00
6.370463078848560912e+01 -1.633432765225421912e+00
6.382978723404255561e+01 -1.630674990563745652e+00
6.395494367959950210e+01 -1.633654281653837970e+00
6.408010012515644860e+01 -1.629712199707817666e+00
6.420525657071338799e+01 -1.632707163238954706e+00
6.433041301627034159e+01 -1.632741748633507406e+00
6.445556946182728097e+01 -1.629995141612311293e+00
6.458072590738423457e+01 -1.636709122076007938e+00
6.470588235294117396e+01 -1.637325810017840499e+00
6.483103879849812756e+01 -1.638461442175590088e+00
6.495619524405506695e+01 -1.646800591324474983e+00
6.508135168961202055e+01 -1.643751967466912323e+00
6.520650813516895994e+01 -1.637553025940769347e+00
6.533166458072591354e+01 -1.638220025518884349e+00
6.545682102628285293e+01 -1.641699833538831532e+00
6.558197747183980653e+01 -1.636718429839039368e+00
6.570713391739674591e+01 -1.647633389075791932e+00
6.583229036295369951e+01 -1.647429159965472012e+00
6.595744680851063890e+01 -1.653230095612746808e+00
6.608260325406759250e+01 -1.655080986103801610e+00
6.620775969962453189e+01 -1.654899016280235280e+00
6.633291614518148549e+01 -1.665117671492917673e+00
