# r   Lambda(r)
3.867334167709637427e+01 -4.164026623291832152e+00
3.879849812265332076e+01 -4.164917960237969119e+00
3.892365456821026726e+01 -4.168460169443864771e+00
3.904881101376721375e+01 -4.171198613176011705e+00
3.917396745932416025e+01 -4.170743483066109647e+00
3.929912390488110674e+01 -4.173459154900146295e+00
3.942428035043804613e+01 -4.174339810498050696e+00
3.954943679599499262e+01 -4.180887161090726778e+00
3.967459324155193912e+01 -4.177868405089521175e+00
3.979974968710888561e+01 -4.180189919196219073e+00
3.992490613266583210e+01 -4.186693769104439689e+00
4.005006257822277860e+01 -4.187462131788148412e+00
4.017521902377972509e+01 -4.190760903156111716e+00
4.030037546933667159e+01 -4.197283389260134889e+00
4.042553191489361808e+01 -4.196329062850225888e+00
4.055068836045056457e+01 -4.199729305028194304e+00
4.067584480600751107e+01 -4.202051246385364536e+00
4.080100125156445756e+01 -4.203718992007422273e+00
4.092615769712140406e+01 -4.205460739773998036e+00
4.105131414267835055e+01 -4.207271534162725146e+00
4.117647058823529704e+01 -4.210986164829086498e+00
4.130162703379224354e+01 -4.211346132692844968e+00
4.142678347934919003e+01 -4.216787033181469191e+00
4.155193992490613653e+01 -4.218760566121955158e+00
4.167709637046308302e+01 -4.223547639343322224e+00
4.180225281602002951e+01 -4.223911555351547165e+00
4.192740926157697601e+01 -4.223205393507978300e+00
4.205256570713392250e+01 -4.227719422553972706e+00
4.217772215269086900e+01 -4.228695698143637216e+00
4.230287859824780838e+01 -4.234943843276845143e+00
4.242803504380475488e+01 -4.236565686910891415e+00
4.255319148936170137e+01 -4.237654489728552853e+00
4.267834793491864787e+01 -4.238723009102344008e+00
4.280350438047559436e+01 -4.241872111991639827e+00
4.292866082603254085e+01 -4.246701295404006871e+00
4.305381727158948735e+01 -4.247440801592120785e+00
4.317897371714643384e+01 -4.248403191249069621e+00
4.330413016270338034e+01 -4.252500903140544963e+00
4.342928660826032683e+01 -4.255158995041087522e+00
4.355444305381727332e+01 -4.257937767187029543e+00
4.367959949937421982e+01 -4.257750010673296615e+00
4.380475594493116631e+01 -4.261717482871135054e+00
4.392991239048811281e+01 -4.262642554882297041e+00
4.405506883604505930e+01 -4.265057184982381067e+00
4.418022528160200579e+01 -4.270166653569877013e+00
4.430538172715895229e+01 -4.267807899140551697e+00
