# r   Lambda(r)
3.229036295369211729e+01 9.433690902951981094e-01
3.241551939924906378e+01 9.428240739159312600e-01
3.254067584480601028e+01 9.442468737986662308e-01
3.266583229036295677e+01 9.442859227818822809e-01
3.279098873591990326e+01 9.438457025216365759e-01
3.291614518147684976e+01 9.438020613618467447e-01
3.304130162703379625e+01 9.427866559489697096e-01
3.316645807259074274e+01 9.443114270775326835e-01
3.329161451814768924e+01 9.443018967813763265e-01
3.341677096370463573e+01 9.437626602213974314e-01
3.354192740926157512e+01 9.439129768607612547e-01
3.366708385481852162e+01 9.439377982832531933e-01
3.379224030037546811e+01 9.443442816251086391e-01
3.391739674593241460e+01 9.440555805448461735e-01
3.404255319148936110e+01 9.431485655778999444e-01
3.416770963704630759e+01 9.440349405863440735e-01
3.429286608260325409e+01 9.434731638464244341e-01
3.441802252816020058e+01 9.442070929185105710e-01
3.454317897371714707e+01 9.439283451915693179e-01
3.466833541927409357e+01 9.443269205872162342e-01
3.479349186483104006e+01 9.439428825639655241e-01
3.491864831038798656e+01 9.441207377917004706e-01
3.504380475594493305e+01 9.437564786204475364e-01
3.516896120150187954e+01 9.442394056763609989e-01
3.529411764705882604e+01 9.441744858392693285e-01
3.541927409261577253e+01 9.432284822123826462e-01
3.554443053817271903e+01 9.439289643270170060e-01
3.566958698372966552e+01 9.443152995996012544e-01
3.579474342928661201e+01 9.429885905362269671e-01
3.591989987484355851e+01 9.438827868203527593e-01
3.604505632040050500e+01 9.437451878580820352e-01
3.617021276595745150e+01 9.441773519817604488e-01
3.629536921151439799e+01 9.437208943163859498e-01
3.642052565707133738e+01 9.442264836541860440e-01
3.654568210262828387e+01 9.443386101895083762e-01
3.667083854818523037e+01 9.439875155527884809e-01
3.679599499374217686e+01 9.440319951572102575e-01
3.692115143929912335e+01 9.427682289677700167e-01
3.704630788485606985e+01 9.441159407776318346e-01
3.717146433041301634e+01 9.438886127935924852e-01
3.729662077596996284e+01 9.440002169327674775e-01
3.742177722152690933e+01 9.432231805513119349e-01
3.754693366708385582e+01 9.439469209617912249e-01
3.767209011264080232e+01 9.441821085957982085e-01
3.779724655819774881e+01 9.441768196049612483e-01
3.792240300375469531e+01 9.430786955693041262e-01
3.804755944931164180e+01 9.436804901639168630e-01
3.817271589486858829e+01 9.428743645746666679e-01
3.829787234042553479e+01 9.436871025208634078e-01
3.842302878598248128e+01 9.442870972707559929e-01
3.854818523153942778e+01 9.439914345602852253e-01
3.867334167709637427e+01 9.436970706884835192e-01
3.879849812265332076e+01 9.441596649022808707e-01
3.892365456821026726e+01 9.432387562605234477e-01
3.904881101376721375e+01 9.432062620078063286e-01
3.917396745932416025e+01 9.443470974724075262e-01
3.929912390488110674e+01 9.440937067771849600e-01
3.942428035043804613e+01 9.437407704577419620e-01
3.954943679599499262e+01 9.439927255941292783e-01
3.967459324155193912e+01 9.433680492905963666e-01
3.979974968710888561e+01 9.435460349409454661e-01
3.992490613266583210e+01 9.438140218526192005e-01
4.005006257822277860e+01 9.442661180692303313e-01
4.017521902377972509e+01 9.435821183507414611e-01
4.030037546933667159e+01 9.441960985931115991e-01
4.042553191489361808e+01 9.440829481122779976e-01
4.055068836045056457e+01 9.425242925263268567e-01
4.067584480600751107e+01 9.432831642399173155e-01
4.080100125156445756e+01 9.433960665038791937e-01
4.092615769712140406e+01 9.441752345525429302e-01
4.105131414267835055e+01 9.443453197892645035e-01
4.117647058823529704e+01 9.439723035357352465e-01
4.130162703379224354e+01 9.428993852356630789e-01
4.142678347934919003e+01 9.441802912624368549e-01
4.155193992490613653e+01 9.433337595626449801e-01
4.167709637046308302e+01 9.441701088436783573e-01
4.180225281602002951e+01 9.441067218705637698e-01
4.192740926157697601e+01 9.438494054933800337e-01
4.205256570713392250e+01 9.432133226815136995e-01
4.217772215269086900e+01 9.440823089218441933e-01
4.230287859824780838e+01 9.441692236814599459e-01
4.242803504380475488e+01 9.431135531368156633e-01
4.255319148936170137e+01 9.442001061441785970e-01
4.267834793491864787e+01 9.434255424058310968e-01
4.280350438047559436e+01 9.442504286734281216e-01
4.292866082603254085e+01 9.442987217970550962e-01
4.305381727158948735e+01 9.443213669953384182e-01
4.317897371714643384e+01 9.439570126320743215e-01
4.330413016270338034e+01 9.434976199120818086e-01
4.342928660826032683e+01 9.442528867699117034e-01
4.355444305381727332e+01 9.430085074471279416e-01
4.367959949937421982e+01 9.428463300094448440e-01
4.380475594493116631e+01 9.425797584409366658e-01
4.392991239048811281e+01 9.434742618168404649e-01
4.405506883604505930e+01 9.440420372323505838e-01
4.418022528160200579e+01 9.434632899371605541e-01
4.430538172715895229e+01 9.441245573940653113e-01
4.443053817271589878e+01 9.437261079691424692e-01
4.455569461827284528e+01 9.440946458459296142e-01
4.468085106382979177e+01 9.440544813456995810e-01
4.480600750938673826e+01 9.440187654943433815e-01
4.493116395494368476e+01 9.441541415375965807e-01
4.505632040050063125e+01 9.440243894688848947e-01
4.518147684605757064e+01 9.436108532469345000e-01
4.530663329161451713e+01 9.439863309938246738e-01
4.543178973717146363e+01 9.442120548759372900e-01
4.555694618272841012e+01 9.440549985533802646e-01
4.568210262828535662e+01 9.443206051560596448e-01
4.580725907384230311e+01 9.442245403278783922e-01
4.593241551939924960e+01 9.440306294972861112e-01
4.605757196495619610e+01 9.442297547723415008e-01
4.618272841051314259e+01 9.441630876635446201e-01
4.630788485607008909e+01 9.438548683702636666e-01
4.643304130162703558e+01 9.441100563476196861e-01
4.655819774718398207e+01 9.438077208339916702e-01
4.668335419274092857e+01 9.433433817461034376e-01
4.680851063829787506e+01 9.442884860125965174e-01
4.693366708385482156e+01 9.442214012781415811e-01
4.705882352941176805e+01 9.430809035602125689e-01
4.718397997496871454e+01 9.436487762365045606e-01
4.730913642052566104e+01 9.435099813575541505e-01
4.743429286608260753e+01 9.432311539020680202e-01
4.755944931163955403e+01 9.428705654867483021e-01
4.768460575719650052e+01 9.439536310403935371e-01
4.780976220275344701e+01 9.435005645635856641e-01
4.793491864831039351e+01 9.436759004306932708e-01
4.806007509386734000e+01 9.439606361101804399e-01
4.818523153942427939e+01 9.438983401445918409e-01
4.831038798498122588e+01 9.432256401357522746e-01
4.843554443053817238e+01 9.439687301991934731e-01
4.856070087609511887e+01 9.440830498925283365e-01
4.868585732165206537e+01 9.427726401097552555e-01
4.881101376720901186e+01 9.440847341623557210e-01
4.893617021276595835e+01 9.440764509893158074e-01
4.906132665832290485e+01 9.440826111334476023e-01
4.918648310387985134e+01 9.425205345452514205e-01
4.931163954943679784e+01 9.441809190204367708e-01
4.943679599499374433e+01 9.440297339925848297e-01
4.956195244055069082e+01 9.442978044225666112e-01
4.968710888610763732e+01 9.439693682418442977e-01
4.981226533166458381e+01 9.439355131326846449e-01
4.993742177722153031e+01 9.441004051219200610e-01
5.006257822277847680e+01 9.440488225297892777e-01
5.018773466833542329e+01 9.441473904157349217e-01
5.031289111389236979e+01 9.433384033809043556e-01
5.043804755944931628e+01 9.427421392916718323e-01
5.056320400500626278e+01 9.442681798739500643e-01
5.068836045056320927e+01 9.443347792170211363e-01
5.081351689612015576e+01 9.440899045793929023e-01
5.093867334167710226e+01 9.440580639551691133e-01
5.106382978723404165e+01 9.433279228630281343e-01
5.118898623279098814e+01 9.442161936021862267e-01
5.131414267834793463e+01 9.440465547131939861e-01
5.143929912390488113e+01 9.439854674670526968e-01
5.156445556946182762e+01 9.436109866976961635e-01
5.168961201501877412e+01 9.440952715540900098e-01
5.181476846057572061e+01 9.437710532070436864e-01
5.193992490613266710e+01 9.433867116421688070e-01
5.206508135168961360e+01 9.440738591395927415e-01
5.219023779724656009e+01 9.436235234457789334e-01
5.231539424280350659e+01 9.440638265079530633e-01
5.244055068836045308e+01 9.436856684101484483e-01
5.256570713391739957e+01 9.427371976354333993e-01
5.269086357947434607e+01 9.441081918193303668e-01
5.281602002503129256e+01 9.431230306684874609e-01
5.294117647058823906e+01 9.433425582898811168e-01
5.306633291614518555e+01 9.436058642149266484e-01
5.319148936170213204e+01 9.440338042920031203e-01
5.331664580725907854e+01 9.431153209497240564e-01
5.344180225281602503e+01 9.433459055775204050e-01
5.356695869837297153e+01 9.441586410686617636e-01
5.369211514392991802e+01 9.433700733895998836e-01
5.381727158948686451e+01 9.430459499460435158e-01
5.394242803504380390e+01 9.438958798078360690e-01
5.406758448060075040e+01 9.425496590076359871e-01
5.419274092615769689e+01 9.435754774293123592e-01
5.431789737171464338e+01 9.440818667122000685e-01
5.444305381727158988e+01 9.433860600164275523e-01
5.456821026282853637e+01 9.441438547291586270e-01
5.469336670838548287e+01 9.440063004245506928e-01
5.481852315394242936e+01 9.442770289561133179e-01
5.494367959949937585e+01 9.441044365949646799e-01
5.506883604505632235e+01 9.441140545013009255e-01
5.519399249061326884e+01 9.440292640726903883e-01
5.531914893617021534e+01 9.441590742511272172e-01
5.544430538172716183e+01 9.441244001798902996e-01
5.556946182728410832e+01 9.435067451011697193e-01
5.569461827284105482e+01 9.439976338001143663e-01
5.581977471839800131e+01 9.429341433942821649e-01
5.594493116395494781e+01 9.438089350355847174e-01
5.607008760951189430e+01 9.441453362993509346e-01
5.619524405506884079e+01 9.431386609584251346e-01
5.632040050062578729e+01 9.440826344361099576e-01
5.644555694618273378e+01 9.439688715838234767e-01
5.657071339173968028e+01 9.430250120818592929e-01
5.669586983729662677e+01 9.441258655859254834e-01
5.682102628285356616e+01 9.440132284800720752e-01
5.694618272841051265e+01 9.443227615729575808e-01
5.707133917396745915e+01 9.440103553050276375e-01
5.719649561952440564e+01 9.440736096103651276e-01
5.732165206508135213e+01 9.423994509308860623e-01
5.744680851063829863e+01 9.433383675660965695e-01
5.757196495619524512e+01 9.440415089768037227e-01
5.769712140175219162e+01 9.431381690089997161e-01
5.782227784730913811e+01 9.429332792093685356e-01
5.794743429286608460e+01 9.439336856176334667e-01
5.807259073842303110e+01 9.440087435555143403e-01
5.819774718397997759e+01 9.435479652203309087e-01
5.832290362953692409e+01 9.443130770256364936e-01
