# r   Lambda(r)
3.304130162703379625e+01 2.480428265606482441e+01
3.316645807259074274e+01 2.491732353288371726e+01
3.329161451814768924e+01 2.502708476875407229e+01
3.341677096370463573e+01 2.513717622758441905e+01
3.354192740926157512e+01 2.524635433667544859e+01
3.366708385481852162e+01 2.535635946266076601e+01
3.379224030037546811e+01 2.546428470753275519e+01
3.391739674593241460e+01 2.557559138671678056e+01
3.404255319148936110e+01 2.568529835983474996e+01
3.416770963704630759e+01 2.579535669072728155e+01
3.429286608260325409e+01 2.590363776895064163e+01
3.441802252816020058e+01 2.601504167466381645e+01
3.454317897371714707e+01 2.612438154681654368e+01
3.466833541927409357e+01 2.623355046352567044e+01
3.479349186483104006e+01 2.634317675975145434e+01
3.491864831038798656e+01 2.645327532045878982e+01
3.504380475594493305e+01 2.656256773932186732e+01
3.516896120150187954e+01 2.667181018189306130e+01
3.529411764705882604e+01 2.678159667212971939e+01
3.541927409261577253e+01 2.689053641591062416e+01
3.554443053817271903e+01 2.700006924953292042e+01
3.566958698372966552e+01 2.710831873505700074e+01
3.579474342928661201e+01 2.721858017927712581e+01
3.591989987484355851e+01 2.732627194970953610e+01
3.604505632040050500e+01 2.743472856520126157e+01
3.617021276595745150e+01 2.754499678981692767e+01
3.629536921151439799e+01 2.765238959325241552e+01
3.642052565707133738e+01 2.776383675718786037e+01
3.654568210262828387e+01 2.787353567248068487e+01
3.667083854818523037e+01 2.798135588732185042e+01
3.679599499374217686e+01 2.809117343742166639e+01
3.692115143929912335e+01 2.820033558758028747e+01
3.704630788485606985e+01 2.830918498981023390e+01
3.717146433041301634e+01 2.841780185632788402e+01
3.729662077596996284e+01 2.852709562095244422e+01
3.742177722152690933e+01 2.863485068315918980e+01
3.754693366708385582e+01 2.874369214629627933e+01
3.767209011264080232e+01 2.885038656125701451e+01
3.779724655819774881e+01 2.896113747627820345e+01
3.792240300375469531e+01 2.907031122337970430e+01
3.804755944931164180e+01 2.917924889039355918e+01
3.817271589486858829e+01 2.928760580679414360e+01
3.829787234042553479e+01 2.939653425275204057e+01
3.842302878598248128e+01 2.950500866369587882e+01
3.854818523153942778e+01 2.961341096529890393e+01
3.867334167709637427e+01 2.972146002145230170e+01
3.879849812265332076e+01 2.983012862455022329e+01
3.892365456821026726e+01 2.993910151642166539e+01
3.904881101376721375e+01 3.004710003117183703e+01
3.917396745932416025e+01 3.015604010909813582e+01
3.929912390488110674e+01 3.026397598845623449e+01
3.942428035043804613e+01 3.037049665361312023e+01
3.954943679599499262e+01 3.048096307931802684e+01
3.967459324155193912e+01 3.058767716167953310e+01
3.979974968710888561e+01 3.069686212282190851e+01
3.992490613266583210e+01 3.080462849004576853e+01
4.005006257822277860e+01 3.091349320858191163e+01
4.017521902377972509e+01 3.102005580858992673e+01
4.030037546933667159e+01 3.112879379588634166e+01
4.042553191489361808e+01 3.123736567229301286e+01
4.055068836045056457e+01 3.134567915269247251e+01
4.067584480600751107e+01 3.145274948837194273e+01
4.080100125156445756e+01 3.156034830228508525e+01
4.092615769712140406e+01 3.166938723945730416e+01
4.105131414267835055e+01 3.177587474913658738e+01
4.117647058823529704e+01 3.188489186106897932e+01
4.130162703379224354e+01 3.199186782669082163e+01
4.142678347934919003e+01 3.209890043801777892e+01
4.155193992490613653e+01 3.220851060730237947e+01
4.167709637046308302e+01 3.231570322372405002e+01
4.180225281602002951e+01 3.242255355885904322e+01
4.192740926157697601e+01 3.253124135315901100e+01
4.205256570713392250e+01 3.263744731693295620e+01
4.217772215269086900e+01 3.274564011536111252e+01
4.230287859824780838e+01 3.285376928781960260e+01
4.242803504380475488e+01 3.295902314573262970e+01
4.255319148936170137e+01 3.306943855838560609e+01
4.267834793491864787e+01 3.317529993251910270e+01
4.280350438047559436e+01 3.328325632610656726e+01
4.292866082603254085e+01 3.339083507420880181e+01
4.305381727158948735e+01 3.349861389282778390e+01
4.317897371714643384e+01 3.360606721327200574e+01
4.330413016270338034e+01 3.371348860632181754e+01
4.342928660826032683e+01 3.382037810082787388e+01
4.355444305381727332e+01 3.392761917718216580e+01
4.367959949937421982e+01 3.403510865718686773e+01
4.380475594493116631e+01 3.414088143185669821e+01
4.392991239048811281e+01 3.424855408628028641e+01
4.405506883604505930e+01 3.435394303048666842e+01
4.418022528160200579e+01 3.446242943921403423e+01
4.430538172715895229e+01 3.457038654964028979e+01
4.443053817271589878e+01 3.467717474633782615e+01
4.455569461827284528e+01 3.478294608775261310e+01
4.468085106382979177e+01 3.489095372424948494e+01
4.480600750938673826e+01 3.499823380549983654e+01
4.493116395494368476e+01 3.510406109077928960e+01
4.505632040050063125e+01 3.521077701397508974e+01
4.518147684605757064e+01 3.531901511594097798e+01
4.530663329161451713e+01 3.542393546657687153e+01
4.543178973717146363e+01 3.553171505943844011e+01
4.555694618272841012e+01 3.563894994185081089e+01
4.568210262828535662e+01 3.574366838678206904e+01
4.580725907384230311e+01 3.585206798317291543e+01
4.593241551939924960e+01 3.595945590793402857e+01
4.605757196495619610e+01 3.606570638930146799e+01
4.618272841051314259e+01 3.617209427448792525e+01
4.630788485607008909e+01 3.627860783107193754e+01
4.643304130162703558e+01 3.638527831727280670e+01
4.655819774718398207e+01 3.649094239143449414e+01
4.668335419274092857e+01 3.659826759129335016e+01
4.680851063829787506e+01 3.670399646947108607e+01
4.693366708385482156e+01 3.680996092816572229e+01
4.705882352941176805e+01 3.691626823443803573e+01
4.718397997496871454e+01 3.702337930568335622e+01
4.730913642052566104e+01 3.713011963167819829e+01
4.743429286608260753e+01 3.723542040961530830e+01
4.755944931163955403e+01 3.734119633733086374e+01
4.768460575719650052e+01 3.744771521383951551e+01
4.780976220275344701e+01 3.755332886767025968e+01
4.793491864831039351e+01 3.766083673551189293e+01
