# r   Lambda(r)
5.281602002503129256e+01 -3.131971189354029406e+00
5.294117647058823906e+01 -3.130870931856311490e+00
5.306633291614518555e+01 -3.129526176218362377e+00
5.319148936170213204e+01 -3.128023069791698862e+00
5.331664580725907854e+01 -3.129770828399605964e+00
5.344180225281602503e+01 -3.128565392538633194e+00
5.356695869837297153e+01 -3.128454896493039428e+00
5.369211514392991802e+01 -3.127553011880017220e+00
5.381727158948686451e+01 -3.128481248455938335e+00
5.394242803504380390e+01 -3.129216657097859233e+00
5.406758448060075040e+01 -3.127524758449372833e+00
5.419274092615769689e+01 -3.128204814980681814e+00
5.431789737171464338e+01 -3.127332100277130156e+00
5.444305381727158988e+01 -3.127283881458457593e+00
5.456821026282853637e+01 -3.127847047001735437e+00
5.469336670838548287e+01 -3.128931090801009063e+00
5.481852315394242936e+01 -3.128645861341151413e+00
5.494367959949937585e+01 -3.128373328002036047e+00
5.506883604505632235e+01 -3.128926469889735440e+00
5.519399249061326884e+01 -3.128538167126596825e+00
5.531914893617021534e+01 -3.130170738217437076e+00
5.544430538172716183e+01 -3.128722011268007197e+00
5.556946182728410832e+01 -3.129600842629916446e+00
5.569461827284105482e+01 -3.132453397463438094e+00
5.581977471839800131e+01 -3.129711005416772274e+00
5.594493116395494781e+01 -3.128991315132901629e+00
5.607008760951189430e+01 -3.131696683496912659e+00
5.619524405506884079e+01 -3.129136167214616293e+00
5.632040050062578729e+01 -3.127617920572205001e+00
5.644555694618273378e+01 -3.127308571017564987e+00
5.657071339173968028e+01 -3.126823145916860280e+00
5.669586983729662677e+01 -3.127697872367520393e+00
5.682102628285356616e+01 -3.127012043977701161e+00
5.694618272841051265e+01 -3.125657154887435230e+00
5.707133917396745915e+01 -3.126599803395736288e+00
5.719649561952440564e+01 -3.127317922802521188e+00
5.732165206508135213e+01 -3.124964827481728324e+00
5.744680851063829863e+01 -3.123409802721763384e+00
5.757196495619524512e+01 -3.122604904094559597e+00
5.769712140175219162e+01 -3.121965843556735010e+00
5.782227784730913811e+01 -3.121119025912993283e+00
5.794743429286608460e+01 -3.120108423438874290e+00
5.807259073842303110e+01 -3.119060435951058086e+00
5.819774718397997759e+01 -3.118141837370316694e+00
5.832290362953692409e+01 -3.121085543496195491e+00
5.844806007509387058e+01 -3.117782845056343621e+00
5.857321652065081707e+01 -3.116845374227508625e+00
5.869837296620776357e+01 -3.116266886886453591e+00
5.882352941176471006e+01 -3.115224661565100472e+00
5.894868585732165656e+01 -3.112574751815906815e+00
